Model,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Test AUC-ROC
Random Forest,0.9150046026388463,0.9486692015209125,0.6662216288384513,0.7827450980392157,0.8277323283634487
Gradient Boosting,0.9202209266646211,0.9621928166351607,0.6795727636849133,0.7965571205007824,0.8358023180974368
Support Vector Machines,0.8554771402270636,0.8527918781725888,0.4485981308411215,0.5879265091863517,0.712745280560003
K-Nearest Neighbors,0.8401350107394906,0.7893401015228426,0.4152202937249666,0.5441819772528433,0.6910762823206507
Naive Bayes,0.8082233814053391,0.5756097560975609,0.630173564753004,0.6016571064372211,0.7457640732131555
XGBoost,0.917459343356858,0.9395604395604396,0.684913217623498,0.7922779922779922,0.8358829036324661
